Id,ClientId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,ClientCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
60444,10000432,0,NULL,0,NULL,0,0,0,USD,1,2022-03-05 6:31,2022-03-05 6:05
60445,10000433,5269.86,2025-11-03 0:00,3091.46,2025-10-21 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60446,10000435,0,NULL,0,NULL,0,0,0,USD,1,2019-12-12 6:30,2019-12-12 6:15
60447,10000437,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60448,10000439,0,NULL,0,NULL,0.22,0,0,USD,1,2021-11-25 6:30,2021-11-25 6:05
60449,10000440,123779.18,2025-11-12 0:00,109745.23,2025-10-22 0:00,217698.65,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60450,10000441,0,NULL,0,NULL,0.03,0,0,USD,1,2024-03-12 6:30,2024-03-12 6:15
60451,10000442,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60452,10000443,8044.06,2025-11-03 0:00,704.69,2025-10-08 0:00,34.84,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60453,10000445,19682.88,2025-11-10 0:00,5014.5,2025-10-31 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60454,10000447,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60455,10000449,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60456,10000450,0,NULL,0,NULL,0,0,0,USD,1,2022-02-22 6:31,2022-02-22 6:05
60457,10000451,0,NULL,0,NULL,0,0,0,USD,1,2019-05-04 8:11,2019-05-04 7:08
60458,10000452,9648.02,2025-11-07 0:00,3302.48,2025-10-07 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60459,10000453,3278.95,2025-11-11 0:00,226572.13,2025-11-11 0:00,0,0,0,USD,1,2025-11-13 6:30,2025-11-13 6:16
60460,10000455,0,NULL,0,NULL,0,0,0,USD,1,2025-07-10 7:30,2025-07-10 6:16
