Id,MatterId,TotalWIP,LastWIPDate,TotalAR,LastBillDate,TrustFundsBalance,UnallocatedFundsBalance,RetainerFundsBalance,MatterCurrency,Processed,ProcessTimeStamp,LoadTimeStamp
1223055,1001368250,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223054,1001368204,226.25,2025-11-11 0:00,0,NULL,0,0,0,USD,1,2025-11-13 7:19,2025-11-13 6:16
1223053,1001368192,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223052,1001368197,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:01,2025-11-12 6:15
1223051,1001368188,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223050,1001368146,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:53,2025-11-12 6:15
1223049,1001368237,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223048,1001368165,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 7:01,2025-11-12 6:15
1223047,1001368251,780,2025-11-10 0:00,0,NULL,0,0,0,USD,1,2025-11-12 6:49,2025-11-12 6:15
1223046,1001368196,0,NULL,0,NULL,0,0,0,USD,1,2025-11-12 6:53,2025-11-12 6:15
